rides_in_thousands,start_station_name,member_casual
0.967,Damen Ave & Cullerton St,casual
1.825,Damen Ave & Cullerton St,member
2.789,Damen Ave & Division St,casual
5.933,Damen Ave & Division St,member
2.469,Damen Ave & Foster Ave,member
1.466,Damen Ave & Foster Ave,casual
1.914,Damen Ave & Grand Ave,casual
3.447,Damen Ave & Grand Ave,member
0.81,Damen Ave & Lake St,casual
1.218,Damen Ave & Lake St,member
1.922,Damen Ave & Leland Ave,casual
4.489,Damen Ave & Leland Ave,member
1.118,Damen Ave & Madison St,casual
1.718,Damen Ave & Madison St,member
1.305,Damen Ave & Melrose Ave,casual
2.624,Damen Ave & Melrose Ave,member
0.146,Damen Ave & Pershing Rd,member
0.157,Damen Ave & Pershing Rd,casual
6.476,Damen Ave & Pierce Ave,casual
12.117,Damen Ave & Pierce Ave,member
2.466,Damen Ave & Sunnyside Ave,member
1.405,Damen Ave & Sunnyside Ave,casual
2.628,Damen Ave & Thomas St (Augusta Blvd),casual
5.054,Damen Ave & Thomas St (Augusta Blvd),member
1.225,Damen Ave & Wabansia Ave,casual
2.528,Damen Ave & Wabansia Ave,member
0.439,Damen Ave & Walnut (Lake) St,casual
1.038,Damen Ave & Walnut (Lake) St,member
3.24,Damen Ave & Wellington Ave,member
1.6,Damen Ave & Wellington Ave,casual
0.482,Damen Ave/Coulter St,member
0.383,Damen Ave/Coulter St,casual
0.037,Dan Ryan Woods & 83rd St,member
0.223,Dan Ryan Woods & 83rd St,casual
0.037,Dauphin Ave & 103rd St,casual
0.008,Dauphin Ave & 103rd St,member
0.066,Dauphin Ave & 87th St,casual
0.045,Dauphin Ave & 87th St,member
7.961,Dayton St & North Ave,member
4.102,Dayton St & North Ave,casual
7.516,Dearborn Pkwy & Delaware Pl,casual
15.073,Dearborn Pkwy & Delaware Pl,member
3.243,Dearborn St & Adams St,casual
6.702,Dearborn St & Adams St,member
8.219,Dearborn St & Erie St,casual
19.195,Dearborn St & Erie St,member
5.804,Dearborn St & Monroe St,casual
13.471,Dearborn St & Monroe St,member
2.431,Dearborn St & Van Buren St,casual
3.308,Dearborn St & Van Buren St,member
3.053,Delano Ct & Roosevelt Rd,casual
4.084,Delano Ct & Roosevelt Rd,member
10.0,Desplaines St & Jackson Blvd,member
3.378,Desplaines St & Jackson Blvd,casual
7.392,Desplaines St & Kinzie St,casual
16.203,Desplaines St & Kinzie St,member
2.882,Desplaines St & Randolph St,casual
6.04,Desplaines St & Randolph St,member
0.457,Dodge Ave & Church St,member
0.498,Dodge Ave & Church St,casual
0.322,Dodge Ave & Main St,member
0.218,Dodge Ave & Main St,casual
0.315,Dodge Ave & Mulford St,member
0.202,Dodge Ave & Mulford St,casual
0.331,Dorchester Ave & 49th St,casual
0.962,Dorchester Ave & 49th St,member
0.366,Dorchester Ave & 63rd St,casual
0.788,Dorchester Ave & 63rd St,member
0.017,Doty Ave & 111th St,member
0.078,Doty Ave & 111th St,casual
1.172,Drake Ave & Addison St,member
0.688,Drake Ave & Addison St,casual
0.726,Drake Ave & Montrose Ave,member
0.565,Drake Ave & Montrose Ave,casual
3.354,Drexel Ave & 60th St,member
1.107,Drexel Ave & 60th St,casual
10.13,DuSable Lake Shore Dr & Belmont Ave,member
8.02,DuSable Lake Shore Dr & Belmont Ave,casual
8.667,DuSable Lake Shore Dr & Diversey Pkwy,casual
11.958,DuSable Lake Shore Dr & Diversey Pkwy,member
9.729,DuSable Lake Shore Dr & Monroe St,member
33.485,DuSable Lake Shore Dr & Monroe St,casual
16.254,DuSable Lake Shore Dr & North Blvd,member
22.668,DuSable Lake Shore Dr & North Blvd,casual
7.199,DuSable Lake Shore Dr & Wellington Ave,casual
9.516,DuSable Lake Shore Dr & Wellington Ave,member
0.436,DuSable Museum,member
0.231,DuSable Museum,casual
6.631,Dusable Harbor,member
18.176,Dusable Harbor,casual
0.038,East End Ave & 87th St,casual
0.017,East End Ave & 87th St,member
0.953,Eastlake Ter & Howard St,member
0.5,Eastlake Ter & Howard St,casual
0.002,Eberhart Ave & 131st St,member
0.039,Eberhart Ave & 131st St,casual
0.184,Eberhart Ave & 61st St,member
0.133,Eberhart Ave & 61st St,casual
0.038,Eberhart Ave & 91st St,casual
0.031,Eberhart Ave & 91st St,member
2.675,Eckhart Park,casual
5.383,Eckhart Park,member
0.001,Eggleston Ave & 115th St,member
0.08,Eggleston Ave & 69th St,casual
0.139,Eggleston Ave & 69th St,member
0.021,Eggleston Ave & 92nd St,casual
0.001,Eggleston Ave & 92nd St,member
0.034,Elizabeth St & 47th St,member
0.027,Elizabeth St & 47th St,casual
0.005,Elizabeth St & 92nd St,member
0.034,Elizabeth St & 92nd St,casual
5.051,Elizabeth St & Fulton St,member
2.156,Elizabeth St & Fulton St,casual
3.584,Elizabeth St & Randolph St,casual
7.808,Elizabeth St & Randolph St,member
1.579,Ellis Ave & 53rd St,casual
4.196,Ellis Ave & 53rd St,member
4.831,Ellis Ave & 55th St,casual
14.533,Ellis Ave & 55th St,member
1.729,Ellis Ave & 58th St,casual
6.956,Ellis Ave & 58th St,member
16.044,Ellis Ave & 60th St,member
5.72,Ellis Ave & 60th St,casual
0.066,Ellis Ave & 83rd St,casual
0.017,Ellis Ave & 83rd St,member
0.418,Elmwood Ave & Austin St,casual
0.337,Elmwood Ave & Austin St,member
3.427,Elston Ave & Cortland St,casual
7.152,Elston Ave & Cortland St,member
0.509,Elston Ave & George St,casual
0.967,Elston Ave & George St,member
0.345,Elston Ave & Henderson St,member
0.38,Elston Ave & Henderson St,casual
2.086,Elston Ave & Wabansia Ave,member
1.335,Elston Ave & Wabansia Ave,casual
2.007,Emerald Ave & 28th St,member
0.621,Emerald Ave & 28th St,casual
4.131,Emerald Ave & 31st St,member
1.022,Emerald Ave & 31st St,casual
0.074,Evans Ave & 75th St,member
0.031,Evans Ave & 75th St,casual
0.693,Evanston Civic Center,member
0.889,Evanston Civic Center,casual
0.008,Ewing Ave & 106th St,member
0.039,Ewing Ave & 106th St,casual
0.013,Ewing Ave & 97th St,casual
0.001,Ewing Ave & 97th St,member
0.008,Ewing Ave & 98th St,casual
0.003,Ewing Ave & 98th St,member
0.061,Ewing Ave & Burnham Greenway,member
0.066,Ewing Ave & Burnham Greenway,casual
0.07,Exchange Ave & 79th St,casual
0.242,Exchange Ave & 79th St,member
7.172,Fairbanks Ct & Grand Ave,casual
10.386,Fairbanks Ct & Grand Ave,member
5.234,Fairbanks St & Superior St,member
2.156,Fairbanks St & Superior St,casual
0.067,Fairfield Ave & 44th St,member
0.13,Fairfield Ave & 44th St,casual
0.144,Fairfield Ave & Pratt Blvd,casual
0.236,Fairfield Ave & Pratt Blvd,member
0.194,Fairfield Ave & Roosevelt Rd,member
0.115,Fairfield Ave & Roosevelt Rd,casual
0.001,Farragut Ave & Central Ave,casual
0.005,Farragut Ave & Central Ave,member
